Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH,LOW ,PREV. CLOSE ,ltp,close,vwap,52W H ,52W L ,VOLUME ,No of trades 
13-Mar-25,Thursday,March,Q1,2025,EQ,107264.3,107264.3,104800.0,107264.3,105200.0,105041.6,105621.1,145337.3,102124.1,9096.0,5380.0
12-Mar-25,Wednesday,March,Q1,2025,EQ,107000.0,107475.8,106309.0,106534.3,107115.8,107264.3,106933.7,145337.3,102124.1,3589.0,2709.0
11-Mar-25,Tuesday,March,Q1,2025,EQ,106500.0,106860.0,105576.1,106650.6,106800.0,106534.3,106304.4,145337.3,102124.1,3772.0,2594.0
10-Mar-25,Monday,March,Q1,2025,EQ,107839.0,108198.0,106174.8,107203.0,106407.5,106650.6,107096.3,145337.3,102124.1,5348.0,3636.0
07-Mar-25,Friday,March,Q1,2025,EQ,107500.0,108650.0,107001.5,107795.3,107450.0,107203.0,107773.8,147145.0,102124.1,4698.0,3488.0
06-Mar-25,Thursday,March,Q1,2025,EQ,106995.5,108250.0,106500.1,105805.5,107502.0,107795.3,107498.0,147145.0,102124.1,5969.0,4321.0
05-Mar-25,Wednesday,March,Q1,2025,EQ,102345.6,105962.5,102124.1,102659.4,105800.0,105805.5,104497.0,147145.0,102124.1,6770.0,5102.0
04-Mar-25,Tuesday,March,Q1,2025,EQ,104900.0,105170.3,102351.0,105170.3,102731.0,102659.4,103599.8,147145.0,102351.0,13881.0,7837.0
03-Mar-25,Monday,March,Q1,2025,EQ,105500.0,106190.9,104025.0,105373.7,105346.7,105170.3,104878.7,147145.0,103824.1,4599.0,3470.0
28-Feb-25,Friday,February,Q1,2025,EQ,105480.0,105649.8,103824.1,105723.4,105500.0,105373.7,104894.8,151224.8,103824.1,8766.0,6030.0
27-Feb-25,Thursday,February,Q1,2025,EQ,107399.0,107879.9,105250.5,107204.0,105480.0,105723.4,106344.2,151224.8,105250.5,8469.0,6078.0
25-Feb-25,Tuesday,February,Q1,2025,EQ,108700.0,109245.0,107000.0,108842.0,107190.0,107204.0,108126.7,151224.8,106335.0,4923.0,3270.0
24-Feb-25,Monday,February,Q1,2025,EQ,109260.0,109500.0,108149.0,109263.3,108700.0,108842.0,108787.6,151224.8,106335.0,4368.0,3259.0
